Directory,Lines of Code
pipeline\dbt\dbt-egypt\smartmove_egypt\target\compiled\smartmove_egypt\models\marts,113
pipeline\Airflow\Egypt\Merge,110
backend\apps\agentic_ai\utils,109
backend\requirements,105
infrastructure\command-center\alertmanager,104
pipeline\Airflow\Egypt\utils,104
frontend\app\analyst,103
infrastructure\k8s-gitops\06-argocd,101
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\data\etc,101
backend\apps\upload\migrations,97
infrastructure\ansible,97
frontend\app\admin,96
backend\apps\agentic_ai\memory,95
frontend\app\user,90
frontend\lib\urls,90
frontend\app\authentication\forgot-password,87
pipeline\Airflow\Egypt\dbt-egypt\smartmove_egypt,87
pipeline\Airflow\Dubai\dbt-dubai\logs,86
pipeline\dbt\dbt-dubai\logs,86
infrastructure\command-center\clamav,85
infrastructure\terraform\micro-vms\vm3-watchdog,81
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\tests,81
pipeline\Airflow\England\sensors,80
pipeline\Airflow\utils\templates\prompts,80
infrastructure\terraform\micro-vms\vm1-bastion,79
infrastructure\terraform\micro-vms\vm2-log-forwarder,79
pipeline\Airflow\Dubai\sensors,79
pipeline\Airflow\Egypt\sensors,79
infrastructure\terraform\micro-vms\vm4-tempo-cache,78
frontend\app\admin\security,77
infrastructure\terraform\micro-vms\vm5-mimir-cache,76
infrastructure\terraform\micro-vms\vm6-loki-cache,76
infrastructure\terraform\micro-vms\vm7-image-optimizer,76
backend\apps\integrations\migrations,75
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\models\geo,75
pipeline\dbt\dbt-egypt\logs,74
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\macros\web,74
frontend\lib\context,71
pipeline\Airflow\Dubai\dbt-dubai\smartmove_dubai\target,67
pipeline\dbt\dbt-dubai\smartmove_dubai\target,67
backend\apps\authentication\migrations,66
backend\apps\reports\migrations,66
pipeline\Airflow\England\utils,66
pipeline\Airflow\Dubai\utils,65
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\models\web,64
docs\architecture\decisions,63
pipeline\dbt\dbt-egypt\smartmove_egypt,62
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\macros\jinja_helpers,60
backend\apps\analytics_pro_engine\migrations,59
infrastructure\ansible\playbooks,59
infrastructure\command-center\loki,59
infrastructure\command-center\tempo,59
infrastructure\command-center\grafana\provisioning\datasources,58
pipeline\dbt\dbt-egypt\smartmove_egypt\target\compiled\smartmove_egypt\models\marts\schema.yml,58
infrastructure\k8s-gitops\00-namespaces,57
pipeline\Airflow\Dubai\dbt-dubai\smartmove_dubai,57
pipeline\dbt\dbt-dubai\smartmove_dubai,57
infrastructure\ansible\roles\utility_node\tasks,56
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\macros,55
frontend\app\admin\monitoring,54
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\tests\generic,54
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\tests\sql,51
infrastructure\ansible\roles\stay_alive\tasks,49
infrastructure\command-center\mimir,48
infrastructure\ansible\roles\alloy_monitor\tasks,47
backend\apps\subscriptions\migrations,45
infrastructure\ansible\roles\wazuh_agent\tasks,45
frontend\AhmedSherif,44
frontend\app\authentication,44
backend\apps\core\services,43
infrastructure\ansible\roles\common\tasks,42
pipeline\Airflow,39
backend\apps\agentic_ai\prompts,38
pipeline\dbt\dbt-egypt\smartmove_egypt\target\run\smartmove_egypt\models\staging,38
infrastructure\ansible\roles\cache_node\tasks,37
pipeline\Airflow\England\dbt-england\smartmove_england,36
backend\apps\monitoring\migrations,35
backend\apps\predictions\migrations,35
infrastructure\ansible\roles\utility_node\files,35
pipeline\Airflow\Egypt\dbt-egypt\smartmove_egypt\models\staging,34
pipeline\dbt\dbt-egypt\smartmove_egypt\models\staging,34
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\models\datetime,33
frontend\app\terms,30
backend\apps\chatbot\management\commands,27
backend\apps\currency\migrations,27
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\tests\jinja_helpers,27
pipeline\dbt\dbt-egypt\smartmove_egypt\target\compiled\smartmove_egypt\models\staging,27
frontend\components\data-import,23
backend\apps\dashboard,22
backend\apps\notifications,22
infrastructure\ansible\roles\k3s_master\tasks,19
pipeline\Airflow\Dubai\dbt-dubai\smartmove_dubai\target\run\smartmove_dubai\models\staging,19
pipeline\dbt\dbt-dubai\smartmove_dubai\target\run\smartmove_dubai\models\staging,19
docs\decisions,18
infrastructure\ansible\roles\cache_node\templates,18
infrastructure\command-center\cloudflare-exporter,15
infrastructure\command-center\grafana\provisioning\dashboards,15
pipeline\Airflow\England\dbt-england\smartmove_england\models\core,15
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\data\web,15
infrastructure\ansible\roles\common\templates,13
pipeline\Airflow\Dubai\dbt-dubai\smartmove_dubai\models\staging,13
pipeline\dbt\dbt-dubai\smartmove_dubai\models\staging,13
infrastructure\ansible\roles\k3s_worker\tasks,12
infrastructure\ansible\roles\tailscale_check\tasks,11
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\data\datetime,10
pipeline\SmartMove Cubes,9
pipeline\Airflow\Dubai\dbt-dubai\smartmove_dubai\target\compiled\smartmove_dubai\models\staging,8
pipeline\dbt\dbt-dubai\smartmove_dubai\target\compiled\smartmove_dubai\models\staging,8
infrastructure\ansible\roles\common\handlers,7
backend\apps\core,6
frontend\app\analyst\cloud,6
frontend\app\user\cloud,6
frontend\app\analyst\data-import,5
frontend\app\user\data-import,5
frontend\public,5
pipeline\dbt\dbt-egypt\smartmove_egypt\dbt_packages\dbt_utils\integration_tests\data\geo,4
pipeline\dbt\dbt-egypt\smartmove_egypt\target,4
frontend\app\admin\dashboards,3
frontend\app\analyst\agentic,3
frontend\app\analyst\analytics-engine-ai,3
frontend\app\analyst\geographic-insights,3
frontend\app\analyst\investment-insights,3
frontend\app\analyst\market-trends,3
frontend\app\analyst\predictions,3
frontend\app\analyst\reports,3
frontend\app\user\agentic,3
frontend\app\user\analytics-engine-ai,3
frontend\app\user\geographic-insights,3
frontend\app\user\investment-insights,3
frontend\app\user\market-trends,3
frontend\app\user\predictions,3
frontend\app\user\reports,3
pipeline\Airflow\Dubai\dbt-dubai\smartmove_dubai\macros,3
pipeline\dbt\dbt-dubai\smartmove_dubai\macros,3
frontend\types,2
backend\apps\chatbot\management,1
pipeline\Airflow\England\DataCleaning,1
pipeline\Airflow\England\dbt-england,1
pipeline\Airflow\England\Merge,1
