ds,price_yhat,price_lower,price_upper,rent_yhat,rent_lower,rent_upper,projected_roi_pct,prediction_id,target_date_id,is_latest_forecast,generated_at
2025-01-01,1477342.570636747,1432678.696582872,1519102.7428012677,114971.5046354788,109201.39344800293,120455.87116809373,1067.4,202501_202606221956,20250101,1,2026-06-22 19:56:34.300409
2025-02-01,1497739.1608749777,1457720.4965008772,1540956.247584905,119011.13309814346,113268.4356361676,124503.59431544106,1067.4,202502_202606221956,20250201,1,2026-06-22 19:56:34.300409
2025-03-01,1466488.9987435534,1425276.1245273543,1508505.653596789,117920.6380969779,112780.2749595327,123384.79700769683,1067.4,202503_202606221956,20250301,1,2026-06-22 19:56:34.300409
2025-04-01,1495623.70507083,1453243.0766942468,1539761.326695091,119540.42700165485,114256.24518036789,125336.57597814,1067.4,202504_202606221956,20250401,1,2026-06-22 19:56:34.300409
2025-05-01,1495887.678054855,1453220.46932473,1538446.0842356007,120155.00018665803,114674.67657995639,125511.88512693593,1067.4,202505_202606221956,20250501,1,2026-06-22 19:56:34.300409
2025-06-01,1513403.814142359,1469069.2966642745,1556266.0623020118,120525.92668186984,115233.98038190677,125813.41180051437,1067.4,202506_202606221956,20250601,1,2026-06-22 19:56:34.300409
2025-07-01,1490510.992388054,1449294.8039623925,1531049.9014558154,118835.03056072058,113273.16961764269,124591.70621695212,1067.4,202507_202606221956,20250701,1,2026-06-22 19:56:34.300409
2025-08-01,1499836.9473254653,1457110.9850669627,1544939.0358958317,120384.86409948886,114792.90398606098,126048.48270095633,1067.4,202508_202606221956,20250801,1,2026-06-22 19:56:34.300409
2025-09-01,1502402.3949288737,1461399.1282727427,1548370.1920829087,120396.1218552951,114268.62247732455,125631.0137719803,1067.4,202509_202606221956,20250901,1,2026-06-22 19:56:34.300409
2025-10-01,1491657.3787129705,1449416.5327376304,1535857.459212343,121025.2582935905,115663.19980714745,126867.54876524559,1067.4,202510_202606221956,20251001,1,2026-06-22 19:56:34.300409
2025-11-01,1521793.800380329,1481062.2919858866,1563512.6797193987,121018.61040429214,115185.35899636029,126792.94270081077,1067.4,202511_202606221956,20251101,1,2026-06-22 19:56:34.300409
